,epoch,loss_classifier,loss_box_reg,loss_mask,loss_objectness,loss_rpn_box_reg,total_loss
0,0,0.08778023165091872,0.09856414820253849,0.22610969159007072,0.027852405885700135,0.018978643377660774,0.459285121679306
1,1,0.055034436341375115,0.0810999763160944,0.17714026583731174,0.011597625552793034,0.014787246396299452,0.339659550011158
2,2,0.04358868495374918,0.0708429959975183,0.16248745591938496,0.006831085086800158,0.012841349354479462,0.2965915721356869
3,3,0.037165934273973106,0.06334083729609848,0.15565314775705338,0.004639119089697488,0.011148634015407879,0.2719476723074913
4,4,0.031349475683644414,0.057114590484648946,0.14858766870200635,0.003229943768150406,0.010195935145195107,0.2504776136577129
5,5,0.02776603055372834,0.05283742642775178,0.1442767694890499,0.0027749679986882256,0.00925220268330304,0.2369073973596096
6,6,0.025014768870547415,0.04892698135599494,0.14056918773055077,0.0022376681310706773,0.008272990286874119,0.2250215971469879
7,7,0.022863699310459198,0.04571456288173795,0.13762955489754677,0.0018772627490034211,0.007775313838559669,0.2158603934943676
8,8,0.021541005246341227,0.043316979091614485,0.1347734608054161,0.0018068107270009933,0.007349806540994905,0.2087880627065897
9,9,0.02012252107169479,0.04062954366765916,0.13201392222940922,0.0015046585780219175,0.007002990602748469,0.201273636251688
10,10,0.019641375060193242,0.03970473438315093,0.1300822111815214,0.001373006692934723,0.006569938483065926,0.19737126584351064
11,11,0.01865802643634379,0.03864457612670958,0.12894568940997123,0.0013995692107346257,0.006544240682211239,0.19419210188090802
12,12,0.018445904126390814,0.037337276769801975,0.12725344425439836,0.0014259041176992468,0.006260243071475997,0.19072277244925498
13,13,0.017682347251102327,0.03637118788249791,0.12645720884203912,0.0013958881130165537,0.0061145241379854266,0.1880211561471224
14,14,0.017081185846589506,0.03462121569737792,0.12471729616820812,0.001301012821670156,0.005814446373726241,0.18353515680134297
15,15,0.01653739450406283,0.03377454547025263,0.12384561067819595,0.0012467302150907925,0.005660068658849923,0.18106434950232506
